generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
4,30,12,7,37,5
4,31,35,6,37,5
4,32,33,6,37,5
4,33,36,6,37,5
4,34,32,6,37,5
4,35,18,6,37,5
4,36,15,5,37,5
4,37,25,6,37,5
4,38,25,6,37,5
4,39,22,7,37,5
4,40,9,6,37,5
4,41,26,6,37,5
4,42,28,6,37,5
4,43,27,7,37,5
4,44,10,5,37,5
4,45,15,7,37,5
4,46,15,7,37,5
4,47,28,7,37,5
4,48,28,6,37,5
4,49,18,5,37,5
5,0,35,5,39,7
5,1,29,5,39,7
5,2,36,5,39,7
5,3,13,5,39,7
5,4,34,5,39,7
5,5,23,5,39,7
5,6,25,4,39,7
5,7,21,3,39,7
5,8,29,5,39,7
5,9,26,5,39,7
5,10,23,5,39,7
5,11,25,5,39,7
5,12,31,5,39,7
5,13,26,4,39,7
5,14,10,4,39,7
5,15,30,5,39,7
5,16,25,5,39,7
5,17,28,3,39,7
5,18,25,6,39,7
5,19,9,5,39,7
5,20,13,3,39,7
5,21,30,4,39,7
5,22,27,3,39,7
5,23,28,6,39,7
5,24,13,5,39,7
5,25,26,5,39,7
5,26,26,6,39,7
5,27,29,6,39,7
5,28,37,5,39,7
5,29,24,6,39,7
5,30,13,5,39,7
5,31,9,5,39,7
5,32,35,5,39,7
5,33,33,6,39,7
5,34,32,5,39,7
5,35,17,6,39,7
5,36,14,5,39,7
5,37,34,3,39,7
5,38,30,5,39,7
5,39,28,5,39,7
5,40,33,5,39,7
5,41,28,5,39,7
5,42,9,5,39,7
5,43,13,5,39,7
5,44,24,5,39,7
5,45,30,7,39,7
5,46,26,5,39,7
5,47,28,5,39,7
5,48,25,6,39,7
5,49,26,6,39,7
6,0,36,7,40,5
6,1,30,6,40,5
6,2,30,5,40,5
6,3,35,4,40,5
6,4,29,4,40,5
6,5,10,6,40,5
6,6,10,5,40,5
6,7,34,4,40,5
6,8,10,5,40,5
6,9,37,5,40,5
6,10,29,5,40,5
6,11,20,5,40,5
6,12,28,5,40,5
6,13,15,4,40,5
6,14,29,5,40,5
6,15,30,5,40,5
6,16,39,4,40,5
6,17,19,4,40,5
6,18,16,4,40,5
6,19,28,5,40,5
6,20,28,4,40,5
6,21,14,5,40,5
6,22,10,3,40,5
6,23,29,4,40,5
6,24,30,6,40,5
6,25,29,5,40,5
6,26,34,5,40,5
6,27,30,5,40,5
6,28,20,5,40,5
6,29,25,5,40,5
6,30,15,4,40,5
6,31,34,6,40,5
6,32,28,7,40,5
6,33,36,5,40,5
6,34,17,5,40,5
6,35,13,5,40,5
6,36,24,5,40,5
6,37,36,5,40,5
6,38,11,4,40,5
6,39,33,6,40,5
6,40,33,5,40,5
6,41,17,5,40,5
6,42,24,4,40,5
6,43,35,4,40,5
6,44,28,4,40,5
6,45,27,4,40,5
6,46,30,6,40,5
6,47,20,6,40,5
6,48,10,5,40,5
6,49,15,4,40,5
7,0,34,5,41,5
7,1,14,8,41,5
7,2,34,5,41,5
7,3,21,5,41,5
7,4,12,3,41,5
7,5,26,4,41,5
7,6,29,5,41,5
7,7,25,5,41,5
7,8,34,6,41,5
7,9,28,4,41,5
7,10,35,5,41,5
7,11,27,6,41,5
7,12,35,7,41,5
7,13,35,5,41,5
7,14,29,6,41,5
7,15,17,3,41,5
7,16,16,8,41,5
7,17,11,8,41,5
7,18,28,8,41,5
7,19,14,4,41,5
7,20,28,3,41,5
7,21,31,3,41,5
7,22,26,8,41,5
7,23,29,4,41,5
7,24,14,4,41,5
7,25,25,3,41,5
7,26,15,3,41,5
7,27,22,8,41,5
7,28,28,5,41,5
7,29,37,3,41,5
7,30,34,6,41,5
7,31,27,4,41,5
7,32,35,3,41,5
7,33,29,5,41,5
7,34,28,6,41,5
7,35,35,4,41,5
7,36,28,4,41,5
7,37,39,5,41,5
7,38,36,6,41,5
7,39,35,4,41,5
7,40,34,4,41,5
7,41,14,6,41,5
7,42,36,4,41,5
7,43,28,4,41,5
7,44,10,6,41,5
7,45,40,4,41,5
7,46,24,4,41,5
7,47,28,4,41,5
7,48,29,4,41,5
7,49,11,7,41,5
8,0,41,5,40,5
8,1,21,7,40,5
8,2,17,4,40,5
8,3,22,7,40,5
8,4,36,6,40,5
8,5,20,4,40,5
8,6,35,5,40,5
8,7,18,4,40,5
8,8,33,8,40,5
8,9,28,3,40,5
8,10,24,4,40,5
8,11,32,7,40,5
8,12,32,7,40,5
8,13,9,4,40,5
8,14,36,5,40,5
8,15,17,6,40,5
8,16,34,5,40,5
8,17,33,7,40,5
8,18,16,5,40,5
8,19,22,7,40,5
8,20,34,4,40,5
8,21,27,3,40,5
8,22,21,3,40,5
8,23,32,3,40,5
8,24,30,3,40,5
8,25,34,3,40,5
8,26,27,3,40,5
8,27,26,3,40,5
8,28,10,4,40,5
8,29,9,3,40,5
8,30,30,6,40,5
8,31,29,6,40,5
8,32,10,3,40,5
8,33,23,3,40,5
8,34,34,6,40,5
8,35,10,6,40,5
8,36,35,5,40,5
8,37,29,6,40,5
8,38,21,3,40,5
8,39,12,5,40,5
8,40,33,6,40,5
8,41,32,5,40,5
8,42,25,4,40,5
8,43,20,5,40,5
8,44,36,4,40,5
8,45,35,4,40,5
8,46,19,4,40,5
8,47,31,7,40,5
8,48,33,6,40,5
8,49,20,6,40,5
9,0,39,5,41,5
9,1,40,5,41,5
9,2,34,9,41,5
9,3,34,5,41,5
9,4,36,9,41,5
9,5,30,3,41,5
9,6,28,4,41,5
9,7,27,7,41,5
9,8,31,5,41,5
9,9,34,4,41,5
9,10,33,7,41,5
9,11,30,6,41,5
9,12,33,5,41,5
9,13,14,4,41,5
9,14,29,3,41,5
9,15,28,5,41,5
9,16,29,3,41,5
9,17,9,5,41,5
9,18,34,3,41,5
9,19,30,4,41,5
9,20,33,3,41,5
9,21,19,3,41,5
9,22,25,4,41,5
9,23,33,4,41,5
9,24,25,3,41,5
9,25,29,3,41,5
9,26,35,4,41,5
9,27,28,4,41,5
9,28,26,3,41,5
9,29,35,7,41,5
9,30,28,7,41,5
9,31,38,4,41,5
9,32,39,4,41,5
9,33,16,4,41,5
9,34,22,3,41,5
9,35,28,3,41,5
9,36,18,4,41,5
9,37,32,3,41,5
9,38,30,4,41,5
9,39,29,3,41,5
9,40,32,5,41,5
9,41,17,4,41,5
9,42,9,5,41,5
9,43,34,5,41,5
9,44,29,4,41,5
9,45,33,5,41,5
9,46,34,5,41,5
9,47,10,5,41,5
9,48,34,6,41,5
9,49,9,5,41,5
10,0,39,5,40,5
10,1,30,5,40,5
10,2,35,5,40,5
10,3,33,5,40,5
10,4,40,5,40,5
10,5,33,5,40,5
10,6,33,10,40,5
10,7,33,4,40,5
10,8,29,3,40,5
10,9,34,4,40,5
10,10,28,10,40,5
10,11,32,5,40,5
10,12,31,3,40,5
10,13,36,4,40,5
10,14,10,4,40,5
10,15,34,4,40,5
10,16,33,7,40,5
10,17,13,5,40,5
10,18,9,10,40,5
10,19,32,6,40,5
10,20,32,3,40,5
10,21,28,3,40,5
10,22,29,3,40,5
10,23,19,4,40,5
10,24,20,5,40,5
10,25,26,5,40,5
10,26,30,8,40,5
10,27,33,3,40,5
10,28,31,5,40,5
10,29,27,3,40,5
10,30,9,5,40,5
10,31,29,8,40,5
10,32,31,6,40,5
10,33,33,4,40,5
10,34,38,3,40,5
10,35,36,5,40,5
10,36,29,4,40,5
10,37,29,3,40,5
10,38,9,3,40,5
10,39,33,3,40,5
10,40,30,3,40,5
10,41,18,5,40,5
10,42,29,4,40,5
10,43,32,5,40,5
10,44,22,6,40,5
10,45,35,4,40,5
10,46,41,5,40,5
10,47,30,5,40,5
10,48,35,5,40,5
10,49,32,5,40,5
11,0,38,5,42,5
11,1,32,5,42,5
11,2,37,5,42,5
11,3,40,5,42,5
11,4,36,6,42,5
11,5,30,5,42,5
11,6,33,6,42,5
11,7,10,6,42,5
11,8,34,5,42,5
11,9,30,4,42,5
11,10,33,3,42,5
11,11,10,4,42,5
11,12,25,6,42,5
11,13,34,5,42,5
11,14,13,5,42,5
11,15,22,4,42,5
11,16,34,7,42,5
11,17,27,3,42,5
11,18,34,5,42,5
11,19,17,4,42,5
11,20,31,5,42,5
11,21,35,7,42,5
11,22,28,3,42,5
11,23,31,5,42,5
11,24,34,4,42,5
11,25,34,4,42,5
11,26,28,6,42,5
11,27,31,3,42,5
11,28,21,4,42,5
11,29,30,5,42,5
11,30,26,5,42,5
11,31,40,5,42,5
11,32,34,5,42,5
11,33,30,3,42,5
11,34,34,3,42,5
11,35,31,4,42,5
11,36,20,5,42,5
11,37,27,3,42,5
11,38,31,7,42,5
11,39,35,3,42,5
11,40,31,6,42,5
11,41,37,4,42,5
11,42,32,3,42,5
11,43,33,3,42,5
11,44,19,7,42,5
11,45,32,7,42,5
11,46,20,6,42,5
11,47,32,7,42,5
11,48,28,3,42,5
11,49,33,5,42,5
12,0,39,5,40,5
12,1,31,5,40,5
12,2,42,6,40,5
12,3,39,6,40,5
12,4,21,3,40,5
12,5,19,4,40,5
12,6,9,7,40,5
12,7,17,4,40,5
12,8,14,4,40,5
12,9,22,3,40,5
12,10,34,4,40,5
12,11,31,3,40,5
12,12,32,4,40,5
12,13,29,3,40,5
12,14,32,7,40,5
12,15,31,4,40,5
12,16,23,4,40,5
12,17,25,4,40,5
12,18,34,4,40,5
12,19,29,5,40,5
12,20,34,3,40,5
12,21,18,3,40,5
12,22,20,3,40,5
12,23,9,3,40,5
12,24,30,3,40,5
12,25,34,5,40,5
12,26,33,3,40,5
12,27,10,3,40,5
12,28,31,5,40,5
12,29,9,4,40,5
12,30,24,4,40,5
12,31,31,5,40,5
12,32,24,3,40,5
12,33,39,5,40,5
12,34,23,3,40,5
12,35,34,5,40,5
12,36,25,5,40,5
12,37,9,7,40,5
12,38,18,8,40,5
12,39,18,8,40,5
12,40,32,8,40,5
12,41,29,5,40,5
12,42,34,5,40,5
12,43,20,8,40,5
12,44,35,5,40,5
12,45,36,6,40,5
12,46,33,3,40,5
12,47,33,6,40,5
12,48,31,4,40,5
12,49,33,3,40,5
13,0,40,5,40,5
13,1,36,4,40,5
13,2,31,4,40,5
13,3,10,3,40,5
13,4,17,7,40,5
13,5,17,5,40,5
13,6,32,4,40,5
13,7,9,5,40,5
13,8,15,6,40,5
13,9,33,4,40,5
13,10,32,4,40,5
13,11,34,3,40,5
13,12,9,3,40,5
13,13,30,3,40,5
13,14,35,3,40,5
13,15,18,3,40,5
13,16,30,3,40,5
13,17,30,5,40,5
13,18,34,5,40,5
13,19,33,4,40,5
13,20,24,3,40,5
13,21,30,6,40,5
13,22,33,4,40,5
13,23,10,3,40,5
13,24,17,3,40,5
13,25,32,3,40,5
13,26,31,3,40,5
13,27,33,3,40,5
13,28,33,3,40,5
13,29,21,3,40,5
13,30,10,4,40,5
13,31,36,3,40,5
13,32,32,4,40,5
13,33,9,3,40,5
13,34,10,4,40,5
13,35,27,5,40,5
13,36,27,3,40,5
13,37,35,3,40,5
13,38,27,3,40,5
13,39,31,5,40,5
13,40,19,3,40,5
13,41,34,4,40,5
13,42,30,3,40,5
13,43,17,5,40,5
13,44,33,6,40,5
13,45,33,4,40,5
13,46,30,5,40,5
13,47,23,5,40,5
13,48,31,3,40,5
13,49,28,3,40,5
14,0,40,5,40,5
14,1,33,4,40,5
14,2,34,4,40,5
14,3,34,5,40,5
14,4,29,5,40,5
14,5,30,4,40,5
14,6,35,5,40,5
14,7,35,4,40,5
14,8,33,4,40,5
14,9,10,4,40,5
14,10,21,5,40,5
14,11,33,4,40,5
14,12,32,5,40,5
14,13,35,3,40,5
14,14,34,5,40,5
14,15,33,3,40,5
14,16,26,4,40,5
14,17,31,3,40,5
14,18,38,4,40,5
14,19,34,4,40,5
14,20,17,5,40,5
14,21,9,4,40,5
14,22,29,4,40,5
14,23,35,4,40,5
14,24,29,4,40,5
14,25,32,4,40,5
14,26,32,3,40,5
14,27,25,4,40,5
14,28,28,4,40,5
14,29,33,7,40,5
14,30,26,3,40,5
14,31,35,7,40,5
14,32,32,3,40,5
14,33,10,5,40,5
14,34,16,3,40,5
14,35,30,3,40,5
14,36,34,3,40,5
14,37,28,3,40,5
14,38,34,3,40,5
14,39,36,3,40,5
14,40,34,3,40,5
14,41,36,4,40,5
14,42,30,3,40,5
14,43,14,5,40,5
14,44,35,5,40,5
14,45,32,3,40,5
14,46,29,3,40,5
14,47,33,3,40,5
14,48,27,3,40,5
14,49,29,3,40,5
15,0,40,5,41,5
15,1,27,5,41,5
15,2,30,3,41,5
15,3,36,5,41,5
15,4,24,4,41,5
15,5,34,4,41,5
15,6,31,4,41,5
15,7,18,4,41,5
15,8,36,3,41,5
15,9,35,3,41,5
15,10,34,4,41,5
15,11,30,3,41,5
15,12,28,3,41,5
15,13,38,4,41,5
15,14,34,4,41,5
15,15,27,3,41,5
15,16,34,4,41,5
15,17,33,4,41,5
15,18,29,4,41,5
15,19,10,4,41,5
15,20,35,3,41,5
15,21,26,3,41,5
15,22,32,4,41,5
15,23,24,5,41,5
15,24,34,4,41,5
15,25,27,3,41,5
15,26,32,4,41,5
15,27,22,4,41,5
15,28,35,4,41,5
15,29,32,3,41,5
15,30,32,4,41,5
15,31,25,4,41,5
15,32,9,3,41,5
15,33,33,5,41,5
15,34,26,3,41,5
15,35,34,4,41,5
15,36,28,3,41,5
15,37,10,4,41,5
15,38,37,3,41,5
15,39,26,3,41,5
15,40,26,3,41,5
15,41,28,4,41,5
15,42,20,3,41,5
15,43,31,3,41,5
15,44,28,3,41,5
15,45,27,4,41,5
15,46,31,3,41,5
15,47,34,3,41,5
15,48,28,3,41,5
15,49,29,3,41,5
16,0,41,5,40,5
16,1,33,3,40,5
16,2,22,4,40,5
16,3,32,3,40,5
16,4,29,4,40,5
16,5,34,4,40,5
16,6,35,4,40,5
16,7,29,3,40,5
16,8,10,5,40,5
16,9,38,4,40,5
16,10,9,5,40,5
16,11,10,4,40,5
16,12,9,5,40,5
16,13,35,4,40,5
16,14,22,4,40,5
16,15,31,4,40,5
16,16,29,5,40,5
16,17,10,4,40,5
16,18,38,3,40,5
16,19,30,5,40,5
16,20,34,5,40,5
16,21,15,4,40,5
16,22,33,4,40,5
16,23,35,3,40,5
16,24,34,5,40,5
16,25,31,4,40,5
16,26,29,3,40,5
16,27,13,3,40,5
