generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
4,30,10,8,35,4
4,31,17,13,35,4
4,32,9,14,35,4
4,33,35,6,35,4
4,34,13,8,35,4
4,35,25,10,35,4
4,36,22,11,35,4
4,37,12,8,35,4
4,38,20,18,35,4
4,39,9,12,35,4
4,40,19,13,35,4
4,41,10,8,35,4
4,42,14,10,35,4
4,43,15,10,35,4
4,44,17,12,35,4
4,45,13,6,35,4
4,46,10,6,35,4
4,47,9,13,35,4
4,48,10,6,35,4
4,49,15,10,35,4
5,0,33,4,35,4
5,1,22,4,35,4
5,2,20,3,35,4
5,3,27,3,35,4
5,4,18,3,35,4
5,5,12,3,35,4
5,6,27,3,35,4
5,7,22,3,35,4
5,8,17,3,35,4
5,9,9,3,35,4
5,10,35,4,35,4
5,11,20,3,35,4
5,12,11,3,35,4
5,13,21,4,35,4
5,14,20,3,35,4
5,15,16,6,35,4
5,16,21,5,35,4
5,17,25,5,35,4
5,18,18,5,35,4
5,19,16,3,35,4
5,20,25,9,35,4
5,21,24,3,35,4
5,22,18,9,35,4
5,23,10,5,35,4
5,24,25,3,35,4
5,25,21,5,35,4
5,26,10,4,35,4
5,27,27,3,35,4
5,28,19,3,35,4
5,29,9,3,35,4
5,30,20,3,35,4
5,31,25,5,35,4
5,32,19,3,35,4
5,33,27,10,35,4
5,34,25,6,35,4
5,35,13,3,35,4
5,36,23,5,35,4
5,37,25,6,35,4
5,38,10,5,35,4
5,39,24,5,35,4
5,40,9,9,35,4
5,41,12,12,35,4
5,42,9,12,35,4
5,43,18,10,35,4
5,44,10,10,35,4
5,45,17,5,35,4
5,46,15,3,35,4
5,47,17,4,35,4
5,48,18,4,35,4
5,49,14,3,35,4
6,0,35,4,36,4
6,1,16,3,36,4
6,2,9,3,36,4
6,3,25,3,36,4
6,4,24,3,36,4
6,5,27,4,36,4
6,6,27,3,36,4
6,7,9,3,36,4
6,8,24,3,36,4
6,9,16,3,36,4
6,10,10,8,36,4
6,11,25,3,36,4
6,12,19,3,36,4
6,13,27,3,36,4
6,14,27,3,36,4
6,15,25,3,36,4
6,16,16,3,36,4
6,17,19,3,36,4
6,18,13,3,36,4
6,19,22,3,36,4
6,20,10,3,36,4
6,21,26,5,36,4
6,22,17,3,36,4
6,23,18,4,36,4
6,24,18,4,36,4
6,25,27,3,36,4
6,26,14,5,36,4
6,27,20,5,36,4
6,28,14,3,36,4
6,29,10,6,36,4
6,30,13,9,36,4
6,31,18,3,36,4
6,32,24,6,36,4
6,33,10,4,36,4
6,34,27,4,36,4
6,35,26,3,36,4
6,36,26,6,36,4
6,37,11,3,36,4
6,38,9,4,36,4
6,39,10,3,36,4
6,40,10,3,36,4
6,41,26,3,36,4
6,42,25,5,36,4
6,43,27,4,36,4
6,44,27,4,36,4
6,45,26,3,36,4
6,46,20,3,36,4
6,47,22,4,36,4
6,48,15,3,36,4
6,49,18,3,36,4
7,0,35,4,36,3
7,1,34,4,36,3
7,2,12,3,36,3
7,3,27,3,36,3
7,4,21,4,36,3
7,5,26,3,36,3
7,6,35,3,36,3
7,7,25,4,36,3
7,8,17,3,36,3
7,9,27,3,36,3
7,10,26,3,36,3
7,11,23,3,36,3
7,12,25,4,36,3
7,13,22,3,36,3
7,14,16,3,36,3
7,15,29,3,36,3
7,16,26,3,36,3
7,17,17,3,36,3
7,18,15,3,36,3
7,19,17,3,36,3
7,20,11,3,36,3
7,21,15,3,36,3
7,22,20,4,36,3
7,23,21,4,36,3
7,24,17,4,36,3
7,25,16,3,36,3
7,26,24,3,36,3
7,27,36,3,36,3
7,28,24,3,36,3
7,29,27,3,36,3
7,30,26,3,36,3
7,31,12,3,36,3
7,32,27,3,36,3
7,33,25,4,36,3
7,34,26,3,36,3
7,35,25,3,36,3
7,36,25,3,36,3
7,37,24,3,36,3
7,38,17,3,36,3
7,39,23,3,36,3
7,40,26,4,36,3
7,41,17,3,36,3
7,42,16,3,36,3
7,43,23,3,36,3
7,44,23,3,36,3
7,45,25,3,36,3
7,46,27,4,36,3
7,47,27,3,36,3
7,48,27,4,36,3
7,49,16,4,36,3
8,0,35,3,36,3
8,1,35,3,36,3
8,2,26,4,36,3
8,3,25,3,36,3
8,4,27,3,36,3
8,5,9,3,36,3
8,6,27,3,36,3
8,7,23,4,36,3
8,8,28,3,36,3
8,9,15,3,36,3
8,10,14,5,36,3
8,11,10,3,36,3
8,12,23,5,36,3
8,13,27,5,36,3
8,14,25,4,36,3
8,15,27,3,36,3
8,16,23,3,36,3
8,17,12,3,36,3
8,18,24,3,36,3
8,19,24,3,36,3
8,20,25,3,36,3
8,21,26,3,36,3
8,22,19,3,36,3
8,23,35,3,36,3
8,24,18,3,36,3
8,25,19,3,36,3
8,26,18,5,36,3
8,27,25,5,36,3
8,28,28,3,36,3
8,29,15,3,36,3
8,30,17,3,36,3
8,31,24,3,36,3
8,32,36,4,36,3
8,33,36,4,36,3
8,34,21,4,36,3
8,35,26,4,36,3
8,36,16,3,36,3
8,37,25,4,36,3
8,38,25,4,36,3
8,39,16,3,36,3
8,40,25,4,36,3
8,41,23,3,36,3
8,42,26,3,36,3
8,43,26,3,36,3
8,44,11,3,36,3
8,45,19,3,36,3
8,46,25,5,36,3
8,47,28,4,36,3
8,48,24,4,36,3
8,49,24,6,36,3
9,0,33,3,37,3
9,1,27,4,37,3
9,2,26,3,37,3
9,3,36,3,37,3
9,4,26,3,37,3
9,5,35,3,37,3
9,6,26,3,37,3
9,7,34,3,37,3
9,8,25,3,37,3
9,9,21,3,37,3
9,10,26,3,37,3
9,11,10,3,37,3
9,12,12,3,37,3
9,13,16,3,37,3
9,14,28,3,37,3
9,15,10,3,37,3
9,16,10,4,37,3
9,17,26,3,37,3
9,18,27,3,37,3
9,19,25,3,37,3
9,20,26,4,37,3
9,21,25,3,37,3
9,22,26,3,37,3
9,23,13,3,37,3
9,24,17,3,37,3
9,25,26,3,37,3
9,26,14,3,37,3
9,27,23,3,37,3
9,28,26,3,37,3
9,29,29,3,37,3
9,30,27,3,37,3
9,31,25,3,37,3
9,32,36,3,37,3
9,33,19,3,37,3
9,34,35,4,37,3
9,35,18,4,37,3
9,36,26,4,37,3
9,37,13,3,37,3
9,38,10,4,37,3
9,39,24,3,37,3
9,40,35,4,37,3
9,41,16,3,37,3
9,42,23,4,37,3
9,43,28,5,37,3
9,44,25,4,37,3
9,45,12,5,37,3
9,46,23,4,37,3
9,47,25,5,37,3
9,48,24,5,37,3
9,49,25,5,37,3
10,0,35,3,36,3
10,1,34,3,36,3
10,2,22,3,36,3
10,3,36,3,36,3
10,4,28,3,36,3
10,5,37,3,36,3
10,6,22,4,36,3
10,7,36,3,36,3
10,8,25,3,36,3
10,9,25,3,36,3
10,10,24,3,36,3
10,11,15,4,36,3
10,12,18,4,36,3
10,13,27,3,36,3
10,14,13,4,36,3
10,15,25,3,36,3
10,16,13,3,36,3
10,17,19,4,36,3
10,18,26,3,36,3
10,19,15,3,36,3
10,20,28,3,36,3
10,21,19,3,36,3
10,22,23,3,36,3
10,23,23,4,36,3
10,24,26,4,36,3
10,25,23,3,36,3
10,26,11,4,36,3
10,27,23,4,36,3
10,28,35,3,36,3
10,29,18,3,36,3
10,30,23,3,36,3
10,31,25,3,36,3
10,32,10,4,36,3
10,33,37,4,36,3
10,34,29,4,36,3
10,35,10,4,36,3
10,36,22,4,36,3
10,37,36,3,36,3
10,38,25,5,36,3
10,39,15,4,36,3
10,40,26,3,36,3
10,41,21,3,36,3
10,42,27,3,36,3
10,43,34,4,36,3
10,44,25,4,36,3
10,45,35,4,36,3
10,46,25,4,36,3
10,47,23,4,36,3
10,48,11,4,36,3
10,49,22,4,36,3
11,0,34,3,36,3
11,1,36,3,36,3
11,2,36,3,36,3
11,3,18,3,36,3
11,4,27,3,36,3
11,5,34,3,36,3
11,6,35,3,36,3
11,7,30,3,36,3
11,8,35,3,36,3
11,9,29,3,36,3
11,10,34,3,36,3
11,11,17,3,36,3
11,12,15,3,36,3
11,13,35,3,36,3
11,14,26,4,36,3
11,15,24,5,36,3
11,16,24,5,36,3
11,17,27,4,36,3
11,18,26,3,36,3
11,19,26,4,36,3
11,20,24,4,36,3
11,21,29,4,36,3
11,22,26,3,36,3
11,23,26,4,36,3
11,24,22,4,36,3
11,25,25,3,36,3
11,26,30,3,36,3
11,27,23,4,36,3
11,28,35,3,36,3
11,29,24,3,36,3
11,30,25,3,36,3
11,31,33,3,36,3
11,32,35,3,36,3
11,33,33,3,36,3
11,34,28,3,36,3
11,35,24,3,36,3
11,36,33,3,36,3
11,37,32,4,36,3
11,38,34,3,36,3
11,39,24,3,36,3
11,40,26,3,36,3
11,41,17,3,36,3
11,42,12,4,36,3
11,43,17,3,36,3
11,44,22,4,36,3
11,45,24,3,36,3
11,46,26,4,36,3
11,47,11,5,36,3
11,48,28,5,36,3
11,49,34,5,36,3
12,0,35,3,37,3
12,1,11,3,37,3
12,2,28,3,37,3
12,3,33,4,37,3
12,4,36,3,37,3
12,5,36,3,37,3
12,6,35,3,37,3
12,7,22,4,37,3
12,8,35,4,37,3
12,9,29,3,37,3
12,10,22,3,37,3
12,11,27,3,37,3
12,12,33,3,37,3
12,13,28,3,37,3
12,14,35,3,37,3
12,15,34,5,37,3
12,16,16,3,37,3
