generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,9,10,36,10
0,1,9,3,36,10
0,2,9,6,36,10
0,3,9,10,36,10
0,4,9,17,36,10
0,5,9,15,36,10
0,6,10,24,36,10
0,7,9,25,36,10
0,8,9,20,36,10
0,9,10,24,36,10
0,10,9,22,36,10
0,11,10,14,36,10
0,12,10,29,36,10
0,13,10,19,36,10
0,14,10,22,36,10
0,15,10,18,36,10
0,16,10,13,36,10
0,17,9,16,36,10
0,18,13,25,36,10
0,19,22,30,36,10
0,20,10,23,36,10
0,21,9,13,36,10
0,22,9,27,36,10
0,23,9,20,36,10
0,24,34,29,36,10
0,25,9,12,36,10
0,26,9,32,36,10
0,27,9,30,36,10
0,28,10,16,36,10
0,29,10,13,36,10
0,30,9,19,36,10
0,31,9,23,36,10
0,32,10,17,36,10
0,33,10,12,36,10
0,34,10,15,36,10
0,35,9,16,36,10
0,36,9,15,36,10
0,37,10,9,36,10
0,38,9,24,36,10
0,39,10,22,36,10
0,40,9,13,36,10
0,41,9,28,36,10
0,42,9,32,36,10
0,43,9,22,36,10
0,44,10,28,36,10
0,45,10,23,36,10
0,46,9,27,36,10
0,47,9,16,36,10
0,48,10,11,36,10
0,49,10,26,36,10
1,0,33,10,35,10
1,1,35,9,35,10
1,2,22,9,35,10
1,3,9,9,35,10
1,4,9,9,35,10
1,5,10,10,35,10
1,6,9,10,35,10
1,7,9,4,35,10
1,8,9,3,35,10
1,9,31,3,35,10
1,10,9,22,35,10
1,11,10,14,35,10
1,12,10,21,35,10
1,13,36,13,35,10
1,14,10,23,35,10
1,15,10,6,35,10
1,16,9,18,35,10
1,17,9,14,35,10
1,18,10,19,35,10
1,19,10,20,35,10
1,20,10,14,35,10
1,21,10,13,35,10
1,22,10,17,35,10
1,23,34,14,35,10
1,24,10,25,35,10
1,25,10,16,35,10
1,26,9,25,35,10
1,27,9,29,35,10
1,28,16,7,35,10
1,29,13,13,35,10
1,30,15,20,35,10
1,31,34,20,35,10
1,32,21,17,35,10
1,33,28,13,35,10
1,34,10,9,35,10
1,35,10,6,35,10
1,36,9,12,35,10
1,37,10,17,35,10
1,38,14,7,35,10
1,39,9,13,35,10
1,40,10,16,35,10
1,41,10,14,35,10
1,42,10,20,35,10
1,43,10,17,35,10
1,44,34,17,35,10
1,45,9,15,35,10
1,46,9,16,35,10
1,47,9,19,35,10
1,48,9,14,35,10
1,49,10,19,35,10
2,0,35,10,37,10
2,1,27,11,37,10
2,2,35,9,37,10
2,3,33,10,37,10
2,4,30,10,37,10
2,5,34,8,37,10
2,6,35,11,37,10
2,7,27,11,37,10
2,8,25,10,37,10
2,9,22,11,37,10
2,10,22,11,37,10
2,11,16,11,37,10
2,12,10,11,37,10
2,13,10,5,37,10
2,14,33,11,37,10
2,15,9,5,37,10
2,16,21,5,37,10
2,17,35,5,37,10
2,18,9,4,37,10
2,19,25,16,37,10
2,20,22,5,37,10
2,21,10,11,37,10
2,22,10,3,37,10
2,23,10,4,37,10
2,24,9,3,37,10
2,25,10,5,37,10
2,26,10,3,37,10
2,27,10,3,37,10
2,28,10,6,37,10
2,29,10,3,37,10
2,30,9,3,37,10
2,31,33,21,37,10
2,32,32,18,37,10
2,33,33,25,37,10
2,34,31,16,37,10
2,35,34,30,37,10
2,36,18,19,37,10
2,37,29,14,37,10
2,38,25,24,37,10
2,39,21,8,37,10
2,40,20,6,37,10
2,41,23,16,37,10
2,42,9,6,37,10
2,43,15,18,37,10
2,44,10,14,37,10
2,45,16,18,37,10
2,46,23,13,37,10
2,47,10,14,37,10
2,48,9,13,37,10
2,49,22,14,37,10
3,0,34,10,36,11
3,1,10,10,36,11
3,2,32,10,36,11
3,3,22,8,36,11
3,4,17,10,36,11
