generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
4,30,59,4,95,8
4,31,92,3,95,8
4,32,84,4,95,8
4,33,53,4,95,8
4,34,92,7,95,8
4,35,95,3,95,8
4,36,92,6,95,8
4,37,92,6,95,8
4,38,11,8,95,8
4,39,87,3,95,8
4,40,92,3,95,8
4,41,92,6,95,8
4,42,87,4,95,8
4,43,88,4,95,8
4,44,29,4,95,8
4,45,87,3,95,8
4,46,91,4,95,8
4,47,90,4,95,8
4,48,90,4,95,8
4,49,84,6,95,8
5,0,94,8,95,5
5,1,94,6,95,5
5,2,52,7,95,5
5,3,89,8,95,5
5,4,87,5,95,5
5,5,8,8,95,5
5,6,93,4,95,5
5,7,94,5,95,5
5,8,93,5,95,5
5,9,92,4,95,5
5,10,93,5,95,5
5,11,91,6,95,5
5,12,86,4,95,5
5,13,89,5,95,5
5,14,65,5,95,5
5,15,91,5,95,5
5,16,8,9,95,5
5,17,89,9,95,5
5,18,88,4,95,5
5,19,60,8,95,5
5,20,90,4,95,5
5,21,91,4,95,5
5,22,91,4,95,5
5,23,89,6,95,5
5,24,89,6,95,5
5,25,10,3,95,5
5,26,88,6,95,5
5,27,90,7,95,5
5,28,87,6,95,5
5,29,88,7,95,5
5,30,58,6,95,5
5,31,80,5,95,5
5,32,65,4,95,5
5,33,93,7,95,5
5,34,92,8,95,5
5,35,93,3,95,5
5,36,94,5,95,5
5,37,95,6,95,5
5,38,94,7,95,5
5,39,92,4,95,5
5,40,11,3,95,5
5,41,91,3,95,5
5,42,10,4,95,5
5,43,89,3,95,5
5,44,88,3,95,5
5,45,91,6,95,5
5,46,95,3,95,5
5,47,95,5,95,5
5,48,94,5,95,5
5,49,90,5,95,5
6,0,92,5,95,4
6,1,11,6,95,4
6,2,22,7,95,4
6,3,91,5,95,4
6,4,10,6,95,4
6,5,93,5,95,4
6,6,76,6,95,4
6,7,9,6,95,4
6,8,94,5,95,4
6,9,89,5,95,4
6,10,9,5,95,4
6,11,93,5,95,4
6,12,79,5,95,4
6,13,88,4,95,4
6,14,94,8,95,4
6,15,91,4,95,4
6,16,92,6,95,4
6,17,88,3,95,4
6,18,93,4,95,4
6,19,95,4,95,4
6,20,89,5,95,4
6,21,11,6,95,4
6,22,89,5,95,4
6,23,92,4,95,4
6,24,91,7,95,4
6,25,82,7,95,4
6,26,91,5,95,4
6,27,90,4,95,4
6,28,86,3,95,4
6,29,91,6,95,4
6,30,90,6,95,4
6,31,10,3,95,4
6,32,95,6,95,4
6,33,95,3,95,4
6,34,93,7,95,4
6,35,93,4,95,4
6,36,91,6,95,4
6,37,9,6,95,4
6,38,91,4,95,4
6,39,87,6,95,4
6,40,10,6,95,4
6,41,91,5,95,4
6,42,89,4,95,4
6,43,70,6,95,4
6,44,93,5,95,4
6,45,92,4,95,4
6,46,89,5,95,4
6,47,65,5,95,4
6,48,9,5,95,4
6,49,93,5,95,4
7,0,95,4,95,5
7,1,93,5,95,5
7,2,65,7,95,5
7,3,9,5,95,5
7,4,94,5,95,5
7,5,92,7,95,5
7,6,89,4,95,5
7,7,10,6,95,5
7,8,92,6,95,5
7,9,91,5,95,5
7,10,87,6,95,5
7,11,77,4,95,5
7,12,94,6,95,5
7,13,91,5,95,5
7,14,91,7,95,5
7,15,93,4,95,5
7,16,91,7,95,5
7,17,92,4,95,5
7,18,83,5,95,5
7,19,70,5,95,5
7,20,92,5,95,5
7,21,88,7,95,5
7,22,95,7,95,5
7,23,93,4,95,5
7,24,95,7,95,5
7,25,92,5,95,5
7,26,89,4,95,5
