generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,10,9,95,7
0,1,11,10,95,7
0,2,60,10,95,7
0,3,83,6,95,7
0,4,10,4,95,7
0,5,58,6,95,7
0,6,84,6,95,7
0,7,11,5,95,7
0,8,88,3,95,7
0,9,11,10,95,7
0,10,80,5,95,7
0,11,87,10,95,7
0,12,53,9,95,7
0,13,59,4,95,7
0,14,37,6,95,7
0,15,92,7,95,7
0,16,88,4,95,7
0,17,10,3,95,7
0,18,36,8,95,7
0,19,10,5,95,7
0,20,50,8,95,7
0,21,89,3,95,7
0,22,10,6,95,7
0,23,10,9,95,7
0,24,60,10,95,7
0,25,55,9,95,7
0,26,92,7,95,7
0,27,62,7,95,7
0,28,91,4,95,7
0,29,14,5,95,7
0,30,26,6,95,7
0,31,37,5,95,7
0,32,10,4,95,7
0,33,86,6,95,7
0,34,87,9,95,7
0,35,91,8,95,7
0,36,47,7,95,7
0,37,88,5,95,7
0,38,92,7,95,7
0,39,10,3,95,7
0,40,85,7,95,7
0,41,76,11,95,7
0,42,28,6,95,7
0,43,87,8,95,7
0,44,80,6,95,7
0,45,64,8,95,7
0,46,91,8,95,7
0,47,69,5,95,7
0,48,90,8,95,7
0,49,83,7,95,7
1,0,93,7,94,8
1,1,82,7,94,8
1,2,85,9,94,8
1,3,11,3,94,8
1,4,90,3,94,8
1,5,78,3,94,8
1,6,94,10,94,8
1,7,90,7,94,8
1,8,90,5,94,8
1,9,87,3,94,8
1,10,92,3,94,8
1,11,82,7,94,8
1,12,88,4,94,8
1,13,89,3,94,8
1,14,84,3,94,8
1,15,9,3,94,8
1,16,79,4,94,8
1,17,90,6,94,8
1,18,11,4,94,8
1,19,11,7,94,8
1,20,83,3,94,8
1,21,11,3,94,8
1,22,82,3,94,8
1,23,57,3,94,8
1,24,89,7,94,8
1,25,58,7,94,8
1,26,81,4,94,8
1,27,86,3,94,8
1,28,91,6,94,8
1,29,81,7,94,8
1,30,9,5,94,8
1,31,79,3,94,8
1,32,47,8,94,8
1,33,64,5,94,8
1,34,87,7,94,8
1,35,73,6,94,8
1,36,95,7,94,8
1,37,85,7,94,8
1,38,10,9,94,8
1,39,88,6,94,8
1,40,88,11,94,8
1,41,83,12,94,8
1,42,84,6,94,8
1,43,83,7,94,8
1,44,87,7,94,8
1,45,11,9,94,8
1,46,77,7,94,8
1,47,90,6,94,8
1,48,85,6,94,8
1,49,11,5,94,8
2,0,93,8,95,8
