generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,9,8,36,6
0,1,10,7,36,6
0,2,10,6,36,6
0,3,10,12,36,6
0,4,10,25,36,6
0,5,9,24,36,6
0,6,9,13,36,6
0,7,9,21,36,6
0,8,9,13,36,6
0,9,10,21,36,6
0,10,10,15,36,6
0,11,9,25,36,6
0,12,10,15,36,6
0,13,10,26,36,6
0,14,9,23,36,6
0,15,9,22,36,6
0,16,9,26,36,6
0,17,10,24,36,6
0,18,9,21,36,6
0,19,10,15,36,6
0,20,9,14,36,6
0,21,10,14,36,6
0,22,9,18,36,6
0,23,9,25,36,6
0,24,9,15,36,6
0,25,9,13,36,6
0,26,26,19,36,6
0,27,9,22,36,6
0,28,10,11,36,6
0,29,9,8,36,6
0,30,9,11,36,6
0,31,10,25,36,6
0,32,9,30,36,6
0,33,10,9,36,6
0,34,23,13,36,6
0,35,9,20,36,6
0,36,9,25,36,6
0,37,10,14,36,6
0,38,14,9,36,6
0,39,9,23,36,6
0,40,10,7,36,6
0,41,9,18,36,6
0,42,9,18,36,6
0,43,9,25,36,6
0,44,10,19,36,6
0,45,10,17,36,6
0,46,9,17,36,6
0,47,10,26,36,6
0,48,9,15,36,6
0,49,10,29,36,6
1,0,25,6,37,6
1,1,9,8,37,6
1,2,10,7,37,6
1,3,11,9,37,6
1,4,9,9,37,6
1,5,9,9,37,6
1,6,9,6,37,6
1,7,9,16,37,6
1,8,10,22,37,6
1,9,9,22,37,6
1,10,9,9,37,6
1,11,10,13,37,6
1,12,9,12,37,6
1,13,9,14,37,6
1,14,10,9,37,6
1,15,15,20,37,6
1,16,10,13,37,6
1,17,18,22,37,6
1,18,9,9,37,6
1,19,10,14,37,6
1,20,9,22,37,6
1,21,9,22,37,6
1,22,10,13,37,6
1,23,10,22,37,6
1,24,10,13,37,6
1,25,9,13,37,6
1,26,9,19,37,6
1,27,9,20,37,6
1,28,9,27,37,6
1,29,9,13,37,6
1,30,9,18,37,6
1,31,36,23,37,6
1,32,9,15,37,6
1,33,9,13,37,6
1,34,9,16,37,6
1,35,9,22,37,6
1,36,10,8,37,6
1,37,9,26,37,6
1,38,20,13,37,6
1,39,10,15,37,6
1,40,10,15,37,6
1,41,9,16,37,6
1,42,9,13,37,6
1,43,9,19,37,6
1,44,10,15,37,6
1,45,9,18,37,6
1,46,9,16,37,6
1,47,16,11,37,6
1,48,10,8,37,6
1,49,9,12,37,6
2,0,37,6,38,6
2,1,10,3,38,6
2,2,10,3,38,6
2,3,30,3,38,6
