generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,10,9,12,10
0,1,9,22,12,10
0,2,10,12,12,10
0,3,9,8,12,10
0,4,9,12,12,10
0,5,10,12,12,10
0,6,10,17,12,10
0,7,10,26,12,10
0,8,10,25,12,10
0,9,10,14,12,10
0,10,9,13,12,10
0,11,9,15,12,10
0,12,10,17,12,10
0,13,10,5,12,10
0,14,10,26,12,10
0,15,10,22,12,10
0,16,10,17,12,10
0,17,10,28,12,10
0,18,10,26,12,10
0,19,10,11,12,10
0,20,10,22,12,10
0,21,9,20,12,10
0,22,10,25,12,10
0,23,10,21,12,10
0,24,9,20,12,10
0,25,9,13,12,10
0,26,9,9,12,10
0,27,9,10,12,10
0,28,10,33,12,10
0,29,9,14,12,10
0,30,9,31,12,10
0,31,9,15,12,10
0,32,9,15,12,10
0,33,10,10,12,10
0,34,10,25,12,10
0,35,9,12,12,10
0,36,10,30,12,10
0,37,10,6,12,10
0,38,9,30,12,10
0,39,10,20,12,10
0,40,9,5,12,10
0,41,10,20,12,10
0,42,10,20,12,10
0,43,9,11,12,10
0,44,9,11,12,10
0,45,10,26,12,10
0,46,9,19,12,10
0,47,10,21,12,10
0,48,9,21,12,10
0,49,9,24,12,10
1,0,9,10,15,14
1,1,9,14,15,14
1,2,9,10,15,14
1,3,9,10,15,14
1,4,9,22,15,14
1,5,10,24,15,14
1,6,9,10,15,14
1,7,10,14,15,14
1,8,10,14,15,14
1,9,10,27,15,14
1,10,9,14,15,14
1,11,9,11,15,14
1,12,9,23,15,14
1,13,9,12,15,14
1,14,9,10,15,14
1,15,10,24,15,14
1,16,10,17,15,14
1,17,9,25,15,14
1,18,10,17,15,14
1,19,10,21,15,14
1,20,10,22,15,14
1,21,9,22,15,14
1,22,9,22,15,14
1,23,9,22,15,14
1,24,9,13,15,14
1,25,10,23,15,14
1,26,10,13,15,14
1,27,9,14,15,14
1,28,12,23,15,14
1,29,10,10,15,14
1,30,10,12,15,14
1,31,10,9,15,14
1,32,9,14,15,14
1,33,9,21,15,14
1,34,10,9,15,14
1,35,10,14,15,14
1,36,9,20,15,14
1,37,10,4,15,14
1,38,10,17,15,14
1,39,9,8,15,14
1,40,10,21,15,14
1,41,10,25,15,14
1,42,11,9,15,14
1,43,9,23,15,14
1,44,9,14,15,14
1,45,10,13,15,14
1,46,10,28,15,14
1,47,10,13,15,14
1,48,10,5,15,14
1,49,9,9,15,14
2,0,9,14,22,3
2,1,9,14,22,3
2,2,12,18,22,3
2,3,10,12,22,3
2,4,10,13,22,3
2,5,10,10,22,3
2,6,9,9,22,3
2,7,9,12,22,3
2,8,9,12,22,3
2,9,10,10,22,3
2,10,9,21,22,3
2,11,9,14,22,3
2,12,9,12,22,3
2,13,10,9,22,3
2,14,10,13,22,3
2,15,9,12,22,3
2,16,9,20,22,3
2,17,9,15,22,3
2,18,9,10,22,3
2,19,9,12,22,3
2,20,9,7,22,3
2,21,10,24,22,3
2,22,10,11,22,3
2,23,10,24,22,3
2,24,10,16,22,3
2,25,12,10,22,3
2,26,10,13,22,3
2,27,10,9,22,3
2,28,9,7,22,3
2,29,9,9,22,3
2,30,9,12,22,3
2,31,10,21,22,3
2,32,15,11,22,3
